ipa,beginning,english
/m/,"mn, m, mm","chm, gm, lm, mb, mbe, me, mh, mme, mp, sme, tm"
/n/,"n, nn, gn, kn, mn, pn","cn, dn, gne, hn, ln, mp, nd, ne, ng, nh, nne, nt, sn, sne"
/ŋ/,"","ng, n, nc, nd, ngh, ngue"
/p/,"p, pp","gh, pe, ph, ppe, lfp"
/b/,"b, bb, bh","be, pb, bbe, bj"
/t/,"t, tt, pt, th, ct","bt, cht, d, dt, ed, ght, kt, phth, st, te, tte, z"
/d/,"d, dd, dh","ddh, de, ed, ld, t"
/k/,"c, k, cc, ch, ck, kh, kk, q","cch, cq, cqu, cque, cu, ke, lk, qh, qu, que, x"
/ɡ/,"g, gg, gh, gu","ckg, gge, gue"
/f/,"f, ff, ph, pph","fe, ffe, ft, gh, lf, phe, v, ve, u"
/v/,"v, vv","w, f, lve, ph, u, ve, zv, b, bh, mh"
/θ/,"th, the, tth","chth, phth, h"
/ð/,"th, dh","the, dd, y"
/s/,"s, ss, c, ps, sc, ts, tzs, tz","cs, cc, ce, sce, sch, se, sh, sse, sses, st, sth, sw, t, th, tsw, z"
/z/,"z, zz, cz, dz, tz, zh","ds, s, sc, se, sh, sp, ss, sth, ts, x, ze"
/ʃ/,"sh, ch, sch, shh, psh, zh","c, ce, che, chi, chsi, ci, s, sc, sche, schsch, sci, sesh, she, shi, si, sj, ss, ssi, ti, x, se"
/ʒ/,"j, zh, zhe, g","ci, ge, s, si, ssi, ti, z, zi"
/x/,,
/h/,"h, wh","j, ch, x"
/ɾ/,,
/r/,"r, rr, rh, wr","l, re, rre, rrh, rt"
/l/,"l, ll, gl, lh","le, lle, sle, el"
/j/,"y, h, j","i, l, ll, z, e"
/jə/,,"u"
/hw/,"hw, wh","hu, ju"
/w/,"w, ww, o, ou, hw, wh","u, hu, ju"
/tʃ/,"ch, tch, cch, cz, tsch, tsh, tz, tzs, tzsch","c, cc, che, chi, cs, t, tche, te, th, ti, ts, q"
/dʒ/,"g, j, dg, dzh, jj","ch, d, dge, di, dj, ge, gg, gi, t"
/ks/,"x, xx, chs, cks, cs, ks, xc, xs","cast, cc, cques, cz, kes, lks, ques, xe, xsc, xsw"
/iː/,,"i, e, a, ae, aoi, ay, ea, ee, e'e, ei, eo, ey, eye, ie, is, ix, oe, oi, ue, ui, uy, y, eig, ii"
/ɪər/,,"ere, aer, e're, ea, ear, eare, eer, eere, ehr, eir, eor, er, ers, eyr, ier, iere, ir, oea, yer"
/ɪ/,,"i, y, a, ai, e, ea, ee, ei, ey, eye, ia, ie, ii, o, oe, oi, u, ue, ui, uy, idj"
/uː/,,"u, oo, eew, eu, ew, ieu, ioux, o, oe, oeu, ooe, ou, ough, ougha, oup, ue, uh, ui, uo, w, wo, ut"
/ʊ/,,"oo, u, o, or, ou, oul, w"
/eɪ/,,"a, aa, ae, ai, aig, aigh, ais, al, alf, ao, au, ay, aye, e, é, ea, eg, ee, ée, eh, ei, eig, eigh, eighe, er, ere, es, et, ete, ey, eye, ez, ie, oeh, ue, uet"
/ɛər/,,"are, aer, air, aire, ar, ayer, ayor, ayre, e'er, eah, ear, ehr, eir, eor, er, ere, err, erre, ert, ey're, eyr, ahr"
/ɛ/,,"e, a, ae, ai, ay, ea, eh, ei, eo, ie, ieu, oe, u, ue, aa"
/ə/,,"a, e, i, o, u, y, ae, ah, ai, anc, ath, au, ea, eau, eh, ei, eig, eo, eou, eu, gh, ie, oa, oe, oh, oi, oo, op, ou, ough, ua, ue, ui, uo, hi"
/ɜːr/,,"er, ir, ur, ear, ere, err, erre, eur, eure, irr, irre, oeu, olo, or, our, ueur, uhr, urr, urre, yr, yrrh, ar"
/oʊ/,,"o, aoh, au, aux, eau, eaue, eo, ew, oa, oe, oh, oo, ore, ot, ou, ough, oughe, ow, owe, w, ol, gh"
/ʌ/,,"u, o, oe, oo, ou, uddi, wo, a, au"
/ɔː/,,"o, a, al, au, augh, aughe, aw, awe, eo, oa, oh, oo, oss, ou, ough, u, uo"
/ɔːr/,,"or, ore, aor, ar, aur, aure, hors, oar, oare, oor, oore, our, oure, owar, ure, ort, orps"
/æ/,,"a, aa, ag, ah, ai, al, ar, au, e, ea, ei, i, ua, o, eah"
/ɑː/,,"a, aa, aae, aah, aahe, ag, ah, au, i, o, ar, yah, oh, e, as"
/ɑːr/,,"ar, aar, ahr, alla, are, arr, arre, arrh, ear, er, uar, our"
/ɒ/,,"a, o, ach, au, eau, oh, ou, ow, e, eo"
/juː/,,"u, ew, eau, eo, eu, ewe, ieu, iew, ou, ue, ueue, ugh, ui, ut, uu, you"
/aɪ/,,"ae, ai, aie, aille, ais, ay, aye, ei, eigh, eu, ey, eye, i, ia, ic, ie, ig, igh, ighe, is, oi, oy, ui, uy, uye, y, ye"
/ɔɪ/,,"oi, oy, eu, oll, ooi, oye, ui, uoy, uoye"
/aʊ/,,"ou, ow, ao, aou, aow, aowe, au, aw, o, odh, ough, oughe, owe, iao, iau, hou"
/jʊ/,,"u"
